card_name,is_removal,is_mana_producer,produced_colours,dependency_tags,dependency_min_support,dependency_scope,oracle_text
"Abigale, Eloquent First-Year",False,False,,,,,"Flying, first strike, lifelink
When Abigale enters, up to one other target creature loses all abilities. Put a flying counter, a first strike counter, and a lifelink counter on that creature."
Adept Watershaper,False,False,,,,,Other tapped creatures you control have indestructible.
"Ajani, Outland Chaperone",True,False,,kithkin,4,tribal,"+1: Create a 1/1 green and white Kithkin creature token.
−2: Ajani deals 4 damage to target tapped creature.
−8: Look at the top X cards of your library, where X is your life total. You may put any number of nonland permanent cards with mana value 3 or less from among them onto the battlefield. Then shuffle."
Appeal to Eirdu,False,False,,,,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
One or two target creatures each get +2/+1 until end of turn."
Aquitect's Defenses,False,False,,,,,"Flash
Enchant creature you control
When this Aura enters, enchanted creature gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
Enchanted creature gets +1/+2."
"Ashling, Rekindled // Ashling, Rimebound",False,True,WUBRG,,,,"Whenever this creature enters or transforms into Ashling, Rekindled, you may discard a card. If you do, draw a card.
At the beginning of your first main phase, you may pay {U}. If you do, transform Ashling."
Ashling's Command,True,False,,elemental,4,tribal,"Choose two —
• Create a token that's a copy of target Elemental you control.
• Target player draws two cards.
• Ashling's Command deals 2 damage to each creature target player controls.
• Target player creates two Treasure tokens."
Assert Perfection,False,False,,,,,Target creature you control gets +1/+0 until end of turn. It deals damage equal to its power to up to one target creature an opponent controls.
Auntie's Sentence,True,False,,,,,"Choose one —
• Target opponent reveals their hand. You choose a nonland permanent card from it. That player discards that card.
• Target creature gets -2/-2 until end of turn."
Aurora Awakener,False,False,,,,,"Trample
Vivid — When this creature enters, reveal cards from the top of your library until you reveal X permanent cards, where X is the number of colors among permanents you control. Put any number of those permanent cards onto the battlefield, then put the rest of the revealed cards on the bottom of your library in a random order."
Barbed Bloodletter,False,False,,,,,"Flash
When this Equipment enters, attach it to target creature you control. That creature gains wither until end of turn. (It deals damage to creatures in the form of -1/-1 counters.)
Equipped creature gets +1/+2.
Equip {2}"
Bark of Doran,False,False,,,,,"Equipped creature gets +0/+1.
As long as equipped creature's toughness is greater than its power, it assigns combat damage equal to its toughness rather than its power.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
Bile-Vial Boggart,False,False,,,,,"When this creature dies, put a -1/-1 counter on up to one target creature."
Bitterbloom Bearer,False,False,,faerie,4,tribal,"Flash
Flying
At the beginning of your upkeep, you lose 1 life and create a 1/1 blue and black Faerie creature token with flying."
Blight Rot,False,False,,,,,Put four -1/-1 counters on target creature.
Blighted Blackthorn,False,False,,,,,"Whenever this creature enters or attacks, you may blight 2. If you do, you draw a card and lose 1 life. (To blight 2, put two -1/-1 counters on a creature you control.)"
Blood Crypt,False,True,BR,,,,"({T}: Add {B} or {R}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped."
Bloodline Bidding,False,False,,,,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Choose a creature type. Return all creature cards of the chosen type from your graveyard to the battlefield."
Bloom Tender,False,True,WUBRG,,,,"Vivid — {T}: For each color among permanents you control, add one mana of that color."
Blossombind,False,False,,,,,"Enchant creature
When this Aura enters, tap enchanted creature.
Enchanted creature can't become untapped and can't have counters put on it."
Blossoming Defense,False,False,,,,,Target creature you control gets +2/+2 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
Boggart Cursecrafter,False,False,,goblin,7,tribal,"Deathtouch
Whenever another Goblin you control dies, this creature deals 1 damage to each opponent."
Boggart Mischief,False,False,,goblin,7,tribal,"When this enchantment enters, you may blight 1. If you do, create two 1/1 black and red Goblin creature tokens. (To blight 1, put a -1/-1 counter on a creature you control.)
Whenever a Goblin creature you control dies, each opponent loses 1 life and you gain 1 life."
Boggart Prankster,False,False,,goblin,4,tribal,"Whenever you attack, target attacking Goblin you control gets +1/+0 until end of turn."
Bogslither's Embrace,True,False,,,,,"As an additional cost to cast this spell, blight 1 or pay {3}. (To blight 1, put a -1/-1 counter on a creature you control.)
Exile target creature."
Boldwyr Aggressor,False,False,,giant,5,tribal,"Double strike
Other Giants you control have double strike."
Boneclub Berserker,False,False,,goblin,7,tribal,This creature gets +2/+0 for each other Goblin you control.
Boulder Dash,True,False,,,,,Boulder Dash deals 2 damage to any target and 1 damage to any other target.
Brambleback Brute,False,False,,,,,"This creature enters with two -1/-1 counters on it.
{1}{R}, Remove a counter from this creature: Target creature can't block this turn. Activate only as a sorcery."
Bre of Clan Stoutarm,False,False,,,,,"{1}{W}, {T}: Another target creature you control gains flying and lifelink until end of turn.
At the beginning of your end step, if you gained life this turn, exile cards from the top of your library until you exile a nonland card. You may cast that card without paying its mana cost if the spell's mana value is less than or equal to the amount of life you gained this turn. Otherwise, put it into your hand."
